 ,Label,Area,Mean,Min,Max,X,Y,IntDen,RawIntDen,Slice,Frame
1,mitosis-3t_C1,0.070,3751.667,3019,4057,8.629,9.248,264.456,33765,1,3
2,mitosis-3t_C1,0.070,3498.556,3123,3692,7.390,9.425,246.614,31487,1,3
3,mitosis-3t_C1,0.070,3362.556,2995,3782,6.770,9.691,237.027,30263,1,3
4,mitosis-3t_C1,0.164,3609.476,3065,4078,8.098,9.792,593.677,75799,1,3
5,mitosis-3t_C1,0.180,3604.217,3013,4060,7.374,9.856,649.270,82897,1,3
6,mitosis-3t_C1,0.282,3356.972,2976,4083,6.490,10.096,946.535,120851,1,3
7,mitosis-3t_C1,0.157,3570.500,2963,3973,7.226,10.527,559.301,71410,1,3
8,mitosis-3t_C1,0.556,3478.662,2963,4090,7.556,8.523,1934.448,246985,2,3
9,mitosis-3t_C1,0.070,3741.000,3100,4012,9.160,8.629,263.704,33669,2,3
10,mitosis-3t_C1,0.117,3211.467,2986,3778,9.638,8.930,377.295,48172,2,3
11,mitosis-3t_C1,0.117,3623.733,3115,4010,9.248,9.337,425.730,54356,2,3
12,mitosis-3t_C1,0.149,3520.474,2994,4020,6.463,9.374,523.891,66889,2,3
13,mitosis-3t_C1,0.070,3460.444,3111,3901,9.071,10.045,243.928,31144,2,3
14,mitosis-3t_C1,0.141,3522.167,3002,4053,5.782,10.192,496.557,63399,2,3
15,mitosis-3t_C1,0.070,3355.000,3061,3828,8.540,10.399,236.495,30195,2,3
16,mitosis-3t_C1,0.313,3339.400,3031,3943,7.443,10.981,1046.201,133576,2,3
17,mitosis-3t_C1,0.204,3608.885,3123,4056,6.222,11.073,734.908,93831,2,3
18,mitosis-3t_C1,0.094,3577.417,3123,3953,8.319,8.186,336.231,42929,3,3
19,mitosis-3t_C1,0.345,3362.955,2978,3972,9.562,8.971,1158.938,147970,3,3
20,mitosis-3t_C1,0.070,3507.444,3113,3938,7.478,8.717,247.241,31567,3,3
21,mitosis-3t_C1,0.070,3562.444,3123,3955,6.947,8.806,251.118,32062,3,3
22,mitosis-3t_C1,0.235,3474.833,3029,4065,6.337,9.195,816.473,104245,3,3
23,mitosis-3t_C1,0.070,3351.333,3075,3836,9.868,10.045,236.236,30162,3,3
24,mitosis-3t_C1,0.282,3488.472,3006,4064,5.303,10.664,983.613,125585,3,3
25,mitosis-3t_C1,0.219,3394.536,2965,3923,8.126,11.028,744.432,95047,3,3
26,mitosis-3t_C1,0.125,3634.000,3172,4073,7.169,11.284,455.398,58144,3,3
27,mitosis-3t_C1,0.117,3409.600,3115,3848,5.230,11.319,400.573,51144,3,3
28,mitosis-3t_C1,0.204,3469.885,2961,4017,6.168,11.406,706.602,90217,3,3
29,mitosis-3t_C1,0.219,3407.750,2970,4082,8.234,8.123,747.330,95417,4,3
30,mitosis-3t_C1,0.070,3244.222,3092,3414,7.301,8.363,228.686,29198,4,3
31,mitosis-3t_C1,0.188,3517.458,3002,4039,9.116,8.585,661.191,84419,4,3
32,mitosis-3t_C1,0.149,3677.789,3109,4093,9.640,8.992,547.302,69878,4,3
33,mitosis-3t_C1,0.141,3538.333,3089,4051,5.885,9.278,498.836,63690,4,3
34,mitosis-3t_C1,0.070,3294.111,3094,3594,5.443,9.514,232.203,29647,4,3
35,mitosis-3t_C1,0.298,3436.842,2965,4042,5.361,10.876,1022.892,130600,4,3
36,mitosis-3t_C1,0.070,3511.222,3118,4043,8.186,10.841,247.507,31601,4,3
37,mitosis-3t_C1,0.133,3604.000,3054,4091,7.031,11.232,479.866,61268,4,3
38,mitosis-3t_C1,0.070,3539.889,3106,4045,6.062,11.284,249.528,31859,4,3
39,mitosis-3t_C1,0.094,3499.083,3141,4037,9.027,11.284,328.868,41989,4,3
40,mitosis-3t_C1,0.070,3554.889,3009,3986,7.832,7.567,250.585,31994,5,3
41,mitosis-3t_C1,0.164,3270.095,2960,3637,8.249,8.199,537.856,68672,5,3
42,mitosis-3t_C1,0.070,3377.667,3053,3895,9.071,8.540,238.093,30399,5,3
43,mitosis-3t_C1,0.070,3393.333,3097,4022,6.947,8.629,239.197,30540,5,3
44,mitosis-3t_C1,0.180,3528.957,3021,4061,6.385,9.071,635.712,81166,5,3
45,mitosis-3t_C1,0.070,3364.889,3090,3962,5.354,9.160,237.192,30284,5,3
46,mitosis-3t_C1,0.094,3486.250,3014,4095,9.956,9.912,327.662,41835,5,3
47,mitosis-3t_C1,0.117,3565.667,3087,4081,4.965,10.346,418.908,53485,5,3
48,mitosis-3t_C1,0.070,3673.889,3395,3959,6.947,10.576,258.973,33065,5,3
49,mitosis-3t_C1,0.188,3398.083,2977,4017,4.989,10.808,638.751,81554,5,3
50,mitosis-3t_C1,0.070,3485.111,3104,3943,9.160,10.841,245.666,31366,5,3
51,mitosis-3t_C1,0.117,3234.600,2984,3702,8.275,11.372,380.013,48519,5,3
52,mitosis-3t_C1,0.141,3549.444,3069,4020,6.770,11.490,500.402,63890,5,3
